Fit score,Chance level,Company,Role,Location,Salary,Work model,H1B,New grad flag,Posted date,AI/ML fit track,Why you fit,Application/detail link,Qualifications excerpt
,,Fortinet,Applied AI Engineer New Grad - AI Agent,"Sunnyvale, CA",,,,True,2026-05-25,AI / ML engineering,,https://edel.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2001/job/23077,
,,ByteDance,Machine Learning Graduate - E-Commerce Governance - BS/MS,"Seattle, WA",,,,True,2026-06-03,AI / ML engineering,,https://jobs.bytedance.com/en/position/7538929248565381383/detail,
,,TikTok,Graduate Machine Learning Scientist - Global E-commerce Content Recommendation,"Seattle, WA",,,,True,2026-04-17,AI / ML engineering,,https://lifeattiktok.com/search/7553175919394638087,
,,TikTok,Machine Learning Engineer Graduate,"Seattle, WA",,,,True,2026-04-15,AI / ML engineering,,https://lifeattiktok.com/search/7534641634584185095,
,,TikTok,Machine Learning Engineer Graduate - Multiple Teams,"San Jose, CA",,,,True,2026-04-15,AI / ML engineering,,https://lifeattiktok.com/search/7534641209890588946,
,,TikTok,Machine Learning Scientist Graduate - Global E-commerce Content Recommendation,"San Jose, CA",,,,True,2026-04-08,AI / ML engineering,,https://lifeattiktok.com/search/7553175919393802503,
,,Notion,Software Engineer – New Grad - AI,SF,,,,True,2026-04-27,AI / ML engineering,,https://jobs.ashbyhq.com/notion/7e6dc7fe-7ddd-42c1-8928-13f7bddb9ec9/application,
,,AbbVie,Associate Data Engineer 1,"Vernon Hills, IL",,,,True,2026-06-16,Data engineering,,https://jobs.smartrecruiters.com/AbbVie/3743990013652366,
,,Further,Graduate Leadership Program - AI/Data Engineer,"Cleveland, OH; Dallas, TX; Atlanta, GA",,,,True,2026-06-10,AI / ML engineering,,https://job-boards.greenhouse.io/furtherearlycareer/jobs/8384023002,
,,Cox,Entry Level Data Engineer,"Atlanta, GA",,,,True,2026-06-09,Data engineering,,https://cox.wd1.myworkdayjobs.com/Cox_External_Career_Site_1/job/Atlanta-GA/Data-Engineer-I---11361_R202678512,
,,Quadric,Deep Learning Compiler Engineer New Grad,"Burlingame, CA",,,,True,2026-05-06,AI / ML engineering,,https://apply.workable.com/quadric-dot-i-o-inc/j/43779C9213/apply,
,,Cantor Fitzgerald,Associate Machine Learning Engineer,NYC,,,,True,2026-06-17,AI / ML engineering,,https://hdow.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1003/job/248975,
,,American Institutes for Research,Data Engineer Associate,"Arlington, VA",,,,True,2026-06-16,Data engineering,,https://job-boards.greenhouse.io/americaninstitutesforresearch/jobs/5263560008,
,,Bristol Myers Squibb,Associate Engineer - Analytical AI Engineering,"Princeton, NJ",,,,True,2026-06-16,AI / ML engineering,,https://bristolmyerssquibb.wd5.myworkdayjobs.com/bms/job/Princeton---NJ---US/Associate-Engineer--Analytical-AI-Engineering_R1603317-1,
,,Wonderschool,Early Career Software Engineer - Applied AI,SF,,,,True,2026-04-24,AI / ML engineering,,https://job-boards.greenhouse.io/wonderschool/jobs/6359139003,
,,University of Texas at Austin,Data Engineer 1,"Austin, TX",,,,True,2026-06-12,Data engineering,,https://utaustin.wd1.myworkdayjobs.com/UTstaff/job/AUSTIN-TX/Data-Engineer-I_R_00045134,
,,Meta,Data Engineer – University Grad - Product Analytics,"Menlo Park, CA; NYC; Bellevue, WA",,,,True,2026-06-12,Data engineering,,https://www.metacareers.com/jobs/1468691051611430,
,,ClimateAI,Data Engineer 1,SF,,,,True,2026-05-14,Data engineering,,https://job-boards.greenhouse.io/climateai/jobs/5137357007,
,,Ascot,Associate Full Stack AI Engineer,"Stamford, CT; NYC; Iselin, Woodbridge Township, NJ",,,,True,2026-02-26,AI / ML engineering,,https://fa-emkq-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/889,
,,iSoftStone,Associate AI/ML Developer,"Seattle, WA; Dallas, TX; White Plains, NY",,,,True,2026-06-14,AI / ML engineering,,https://jobs.jobvite.com/isoftstone/job/oXrkAfw2?nl=1&nl=1&fr=false,
,,Salesforce,AI Builder - Emerging Talent,"Seattle, WA; SF; Chicago, IL; NYC; Bellevue, WA; Atlanta, GA; Burlington, MA",,,,True,2026-05-06,AI platform engineering,,https://salesforce.wd12.myworkdayjobs.com/Futureforce_NewGradRoles/job/California---San-Francisco/AI-Builder--Emerging-Talent_JR341276,
,,ServiceNow,Software Engineer - Agentic AI Systems - Moveworks,"Mountain View, CA",,,,,2026-05-14,AI platform engineering,,https://jobs.smartrecruiters.com/ServiceNow/744000126417779,
,,CoreWeave,Software Engineer - Inference AI/ML,"Bellevue, WA; Sunnyvale, CA",,,,,2025-11-05,AI infrastructure / inference,,https://coreweave.com/careers/job?4609928006&board=coreweave&gh_jid=4609928006,
