Fit score,Chance level,Company,Role,Location,Salary,Work model,H1B,New grad flag,Posted date,Fit track,Source category,Application/detail link,Qualifications excerpt
,,Twitch,Software Engineer 1,SF,,,,True,2026-04-25,Software engineering,SimplifyJobs current Software,https://job-boards.greenhouse.io/twitch/jobs/8519628002,
,,LetsGetChecked,Graduate Software Engineer,Remote in USA,,Remote,,True,2026-04-07,Software engineering,SimplifyJobs current Software,https://job-boards.eu.greenhouse.io/letsgetchecked/jobs/4833407101,
,,Lexical Intelligence,NLM Software Engineer 1,"Bethesda, MD",,,,True,2026-06-18,Software engineering,SimplifyJobs current Software,https://lexical.bamboohr.com/careers/73/,
,,Medtronic,Software Engineer 1 - Cardiac Rhythm Management,"Blaine, MN",,,,True,2026-06-17,Software engineering,SimplifyJobs current Software,https://medtronic.wd1.myworkdayjobs.com/redeploymentmedtroniccareers/job/Minneapolis-Minnesota-United-States-of-America/Software-Engineer-I--CRM_R68749,
,,Jamf,Software Engineer 1,"Eau Claire, WI; Austin, TX; Minneapolis, MN",,,,True,2026-06-16,Software engineering,SimplifyJobs current Software,https://www.jamf.com/about/careers/jobs/?gh_jid=6017936004&gh_jid=6017936004,
,,Epic Kids,Junior Software Engineer - Full-Stack,Remote in USA,,Remote,,True,2026-05-28,Software engineering,SimplifyJobs current Software,https://job-boards.greenhouse.io/epickids/jobs/7751646003,
,,Intuit,Software Engineer 1,"NYC; Mountain View, CA; Atlanta, GA; San Diego, CA",,,,True,2026-04-13,Software engineering,SimplifyJobs current Software,https://jobs.intuit.com/job/mountain-view/software-engineer-1/27595/87369448720,
,,ByteDance,Software Development Engineer Graduate - SDN Traffic Intelligence & Control,"Seattle, WA",,,,True,2025-10-31,Software engineering,SimplifyJobs current Software,https://jobs.bytedance.com/en/position/7509262736619571474/detail,
,,Truist Bank,Java Software Engineer 1 - Full-Stack - Financial Crimes,"Raleigh, NC",,,,True,2026-06-10,Software engineering,SimplifyJobs current Software,https://truist.wd1.myworkdayjobs.com/en-US/Careers/job/Raleigh-NC/Java-Software-Engineer-I---Full-Stack----Financial-Crimes_R0115229,
,,The Coca-Cola Company,Software Engineer 1,"Atlanta, GA",,,,True,2026-06-08,Software engineering,SimplifyJobs current Software,https://coke.wd1.myworkdayjobs.com/coca-cola-careers/job/US---GA---Atlanta/Software-Engineer-I_R-140137,
,,Relay,Associate Software Engineer - Site Reliability Engineering,"Raleigh, NC",,,,True,2026-05-29,Backend / platform / cloud,SimplifyJobs current Software,https://job-boards.greenhouse.io/relaypro/jobs/7950142,
,,Aquatic Capital Management,Software Engineer – Early Career,"Chicago, IL; NYC",,,,True,2026-04-01,Software engineering,SimplifyJobs current Software,https://job-boards.greenhouse.io/aquaticcapitalmanagement/jobs/8489226002,
,,Blue Origin,Software Development Engineer 1 - Early Career,"Kent, WA",,,No,True,2026-01-12,Software engineering,SimplifyJobs current Software,https://blueorigin.wd5.myworkdayjobs.com/blueorigin/job/Greater-Seattle-Area/Software-Development-Engineer-I---Early-Career--2026-Starts-_R58467,
,,Secureframe,Graduate Software Engineer - Product,NYC,,,,True,2026-03-16,Software engineering,SimplifyJobs current Software,https://jobs.lever.co/secureframe/5138ce50-65dc-4818-8940-a78b3d0bbd4f/apply,
,,Secureframe,Graduate Software Engineer,NYC,,,,True,2026-03-13,Software engineering,SimplifyJobs current Software,https://jobs.lever.co/secureframe/29ff0477-faeb-44d6-abb3-8e894fc92a22/apply,
,,Torc Robotics,Software Engineer 1 - Metrics for Release Implementation,Remote in USA,,Remote,,True,2026-05-26,Software engineering,SimplifyJobs current Software,https://job-boards.greenhouse.io/torcrobotics/jobs/8554811002,
,,PlayStation,Software Engineer 1,LA,,,,True,2026-03-30,Software engineering,SimplifyJobs current Software,https://job-boards.greenhouse.io/sonyinteractiveentertainmentglobal/jobs/5840958004,
,,PlayStation,Software Engineer 1,"Madison, WI",,,,True,2026-03-30,Software engineering,SimplifyJobs current Software,https://job-boards.greenhouse.io/sonyinteractiveentertainmentglobal/jobs/5840954004,
,,Twitch,Software Engineer 1 - Commerce Engineering,"Seattle, WA; SF",,,,True,2026-03-25,Software engineering,SimplifyJobs current Software,https://job-boards.greenhouse.io/twitch/jobs/8459320002,
,,Fortinet,Junior Software Developer,"Santa Clara, CA",,,,True,2026-04-22,Software engineering,SimplifyJobs current Software,https://edel.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2001/job/22744,
,,Orb,Software Engineer – Early Career - Core Product,SF,,,,True,2026-03-18,Software engineering,SimplifyJobs current Software,https://jobs.ashbyhq.com/orb/b39f70d0-aaa9-46c1-896a-b064a1d3b2cc/application,
,,Uare.ai,Software Engineer – Early Career,"Mountain View, CA",,,,True,2025-11-26,Software engineering,SimplifyJobs current Software,https://job-boards.greenhouse.io/uareai/jobs/4036519009,
,,Buyers Edge Platform,Junior Developer - Python & Go,Remote in USA,,Remote,,True,2026-06-17,Software engineering,SimplifyJobs current Software,https://job-boards.greenhouse.io/buyersedgeplatformrecruiting/jobs/4706922005,
,,EXL,Junior Software Developer,United States,,,,True,2026-06-16,Software engineering,SimplifyJobs current Software,https://fa-ewjt-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2/job/15785,
,,DAT Freight & Analytics,Software Engineer 1,"Denver, CO",,,,True,2026-05-14,Software engineering,SimplifyJobs current Software,https://careers.dat.com/jobs/5990621004?gh_jid=5990621004,
