Company Rank,Tier,Company,Role,Location,Posted/Age,Apply URL,Source,Fit track
1,Stretch / slightly out of reach,Datadog,Software Engineer - Early Career,"Lisbon, Portugal; monitor US early-career offices",crawled yesterday/today,https://careers.datadoghq.com/detail/7646452/,Official / web search,Platform / backend / cloud
2,Stretch / slightly out of reach,Stripe,"Software Engineering, New Grad / Software Engineer, New Grad",Multiple / listing-dependent,crawled last month / 3-4mo,https://stripe.com/jobs/listing/software-engineering-new-grad/7176977/apply,Official / web search,Platform / backend / cloud
3,Stretch / slightly out of reach,Microsoft,Software Engineer - Early in Profession; Responsible AI; Data Engineering IC2,"Redmond, WA / US",updated Apr-May 2026,https://careers.microsoft.com/students/us/en/hr2p,Official / web search,AI / data engineering
4,Stretch / slightly out of reach,Google,Software Engineer Early Career - Infrastructure,"12 locations: Madison, WI; Seattle, WA; Austin, TX; LA; Raleigh, NC; San Bruno, CA; Durham, NC; Kirkland, WA; NYC; Sunnyvale, CA; Mountain View, CA; Atlanta, GA",7mo,https://www.google.com/about/careers/applications/jobs/results/88714689822761670?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,Platform / backend / cloud
4,Stretch / slightly out of reach,Google,Software Engineer  Early Career - AI/ML - PhD,"London, UK",3mo,https://www.google.com/about/careers/applications/jobs/results/92286686481785542?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,Platform / backend / cloud
5,Stretch / slightly out of reach,Amazon,Data Engineer 1 - AWS WW Field Enablement - Analytics and Product Operations,"Seattle, WA",27d,https://amazon.jobs/en/jobs/10410579/data-engineer-i-aws-ww-field-enablement-analytics-and-product-operations?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,Platform / backend / cloud
5,Stretch / slightly out of reach,Amazon,Software Engineer 1,"Seattle, WA; SF",4d,https://amazon.jobs/en/jobs/3141336/software-engineer-i?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,Platform / backend / cloud
6,Stretch / slightly out of reach,NVIDIA,AI Software Engineer New Grad - Kernel Libraries,"Santa Clara, CA",12d,https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/AI-Software-Engineer--Kernel-Libraries---New-College-Grad-2026_JR2018472?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,AI / data engineering
6,Stretch / slightly out of reach,NVIDIA,Machine Learning Applications and Compiler Engineer New Grad,"Santa Clara, CA",26d,https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Machine-Learning-Applications-and-Compiler-Engineer--LPX---New-College-Grad-2026_JR2016939?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,AI / data engineering
6,Stretch / slightly out of reach,NVIDIA,"Deep Learning Architect, LLM Inference","Santa Clara, CA",1mo,https://nvidia.wd5.myworkdayjobs.com/en-US/nvidiaexternalcareersite/job/US-CA-Santa-Clara/Deep-Learning-Architect--LLM-Inference---New-College-Grad-2026_JR2016950?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,AI / data engineering
6,Stretch / slightly out of reach,NVIDIA,Research Scientist  PhD New College Grad - Generative AI for Physical AI,"Santa Clara, CA",1mo,https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Research-Scientist--Generative-AI-for-Physical-AI---PhD-New-College-Grad-2026_JR2016032?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,AI / data engineering
6,Stretch / slightly out of reach,NVIDIA,Applied Machine Learning Engineer  New College Grad 2026 - Circuit Design,"Santa Clara, CA",4mo,https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Applied-Machine-Learning-Engineer--Circuit-Design---New-College-Grad-2026_JR2011517?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,AI / data engineering
7,Stretch / slightly out of reach,IBM,Entry Level Software Developer 2026,"Austin, TX / listing-dependent",2026 / source dependent,https://ibmglobal.avature.net/en_US/careers/JobDetail?jobId=56285,Official / web search,Platform / backend / cloud
8,Stretch / slightly out of reach,Capital One,Associate  New Grad Card Expansion - Software Engineer,"Toronto, ON, Canada",3mo,https://capitalone.wd12.myworkdayjobs.com/Capital_One/job/Toronto-ON/Associate--Software-Engineer--New-Grad-Card-Expansion_R236833?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,Platform / backend / cloud
9,Stretch / slightly out of reach,Airbnb,iOS Software Engineer  New Grad,"Seattle, WA; SF",1mo,https://careers.airbnb.com/positions/7859317?gh_jid=7859317&utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,Full-stack / enterprise app
10,Stretch / slightly out of reach,Uber,Software Engineer 1,"Sunnyvale, CA",2mo,https://www.uber.com/global/en/careers/list/156116/?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,Platform / backend / cloud
